x,y
1,539
2,543
3,543
4,544
5,543
6,550
7,559
8,560
9,560
10,559
11,559
12,560
13,552
14,562
15,564
16,540
17,541
18,548
19,546
20,538
21,528
22,519
23,508
24,498
25,495
26,493
27,489
28,486
29,486
30,480
31,480
32,479
33,473
34,483
35,479
36,487
37,477
38,486
39,496
40,490
41,487
42,488
43,489
44,486
45,488
46,492
47,492
48,488
49,490
50,493
51,491
52,484
53,478
54,480
55,485
56,487
57,486
58,474
59,466
60,480
61,479
62,481
63,474
64,471
65,473
66,484
67,480
68,473
69,471
70,468
71,468
72,467
73,470
74,467
75,470
76,473
77,469
78,477
79,478
80,470
81,485
82,490
83,489
84,495
85,495
86,484
87,479
88,472
89,471
90,469
91,469
92,463
93,464
94,465
95,462
96,460
97,461
98,463
99,452
100,460
101,469
102,475
103,468
104,468
105,462
106,468
107,475
108,472
109,471
110,473
111,476
112,477
113,476
114,504
115,579
116,664
117,715
118,733
119,724
120,640
121,526
122,469
123,456
124,465
125,476
126,470
127,464
128,456
129,451
130,446
131,444
132,442
133,448
134,449
135,449
136,453
137,453
138,462
139,462
140,455
141,451
142,455
143,457
144,455
145,467
146,468
147,470
148,477
149,480
150,487
151,489
152,497
153,503
154,512
155,514
156,514
157,515
158,517
159,514
160,514
161,518
162,519
163,513
164,502
165,514
166,510
167,507
168,501
169,493
170,488
171,476
172,477
173,473
174,471
175,470
176,459
177,459
178,457
179,451
180,448
181,455
182,453
183,450
184,450
185,453
186,459
187,458
188,451
189,454
190,457
191,458
192,460
193,462
194,463
195,462
196,464
197,465
198,466
199,471
200,467
201,469
202,479
203,475
204,474
205,468
206,478
207,467
208,486
209,485
210,483
211,476
212,475
213,473
214,477
215,471
216,467
217,474
218,475
219,479
220,478
221,478
222,478
223,479
224,476
225,481
226,481
227,482
228,485
229,487
230,481
231,485
232,488
233,484
234,490
235,490
236,483
237,496
238,504
239,503
240,505
241,513
242,510
243,502
244,502
245,510
246,511
247,504
248,492
249,498
250,499
251,495
252,492
253,491
254,491
255,487
256,489
257,491
258,494
259,489
260,485
261,479
262,492
263,497
264,488
265,495
266,496
267,499
268,496
269,505
270,509
271,506
272,514
273,571
274,665
275,729
276,762
277,766
278,709
279,590
280,516
281,492
282,503
283,515
284,511
285,504
286,495
287,487
288,484
289,489
290,486
291,486
292,488
293,493
294,498
295,487
296,491
297,499
298,496
299,499
300,515
301,514
302,513
303,511
304,517
305,517
306,516
307,518
308,521
309,519
310,528
311,532
312,538
313,539
314,540
315,555
316,563
317,565
318,559
319,562
320,562
321,575
322,573
323,568
324,561
325,553
326,543
327,541
328,528
329,522
330,515
331,510
332,498
333,495
334,495
335,504
336,497
337,488
338,495
339,490
340,493
341,496
342,493
343,489
344,490
345,489
346,487
347,486
348,472
349,490
350,500
351,504
352,509
353,495
354,507
355,508
356,501
357,499
358,496
359,493
360,490
361,491
362,488
363,487
364,490
365,492
366,496
367,495
368,494
369,498
370,492
371,492
372,496
373,493
374,499
375,492
376,488
377,493
378,496
379,497
380,494
381,491
382,490
383,492
384,494
385,487
386,492
387,492
388,494
389,495
390,496
391,498
392,503
393,494
394,497
395,497
396,498
397,504
398,506
399,507
400,504
401,509
402,509
403,511
404,525
405,532
406,530
407,528
408,522
409,520
410,519
411,517
412,506
413,502
414,501
415,497
416,497
417,509
418,508
419,493
420,497
421,500
422,498
423,497
424,504
425,506
426,504
427,498
428,500
429,494
430,494
431,493
432,496
433,495
434,497
435,482
436,491
437,530
438,627
439,704
440,743
441,741
442,715
443,619
444,515
445,493
446,493
447,501
448,510
449,508
450,492
451,490
452,486
453,484
454,481
455,480
456,480
457,473
458,484
459,482
460,493
461,500
462,496
463,489
464,496
465,497
466,497
467,496
468,504
469,500
470,498
471,502
472,511
473,518
474,523
475,520
476,528
477,531
478,528
479,536
480,548
481,552
482,547
483,547
484,549
485,549
486,547
487,543
488,540
489,534
490,533
491,521
492,518
493,507
494,505
495,500
496,499
497,494
498,486
499,476
500,472
501,473
502,472
503,466
504,470
505,465
506,466
507,464
508,463
509,471
510,476
511,484
512,487
513,482
514,482
515,479
516,481
517,474
518,479
519,486
520,487
521,484
522,481
523,484
524,487
525,478
526,479
527,486
528,488
529,486
530,482
531,480
532,482
533,490
534,484
535,481
536,486
537,483
538,480
539,478
540,477
541,475
542,476
543,482
544,478
545,477
